  full_name,2022/23 ,2022/23(*)
DeAndre Jordan,"$11,109,327 ","$12,475,544 "
Dwight Powell,"$11,080,125 ","$12,442,751 "
Devonte Graham,"$11,000,000 ","$12,352,772 "
Zion Williamson,"$10,733,400 ","$12,053,386 "
Larry Nance Jr,"$10,690,909 ","$12,005,670 "
Jeremy Lamb,"$10,500,000 ","$11,791,283 "
Richaun Holmes,"$10,384,500 ","$11,661,579 "
Reggie Jackson,"$10,384,500 ","$11,661,579 "
Al-Farouq Aminu,"$10,335,621 ","$11,606,688 "
Anthony Edwards,"$10,245,480 ","$11,505,462 "
Luka Doncic,"$10,174,391 ","$11,425,631 "
Cade Cunningham,"$10,050,120 ","$11,286,077 "
Tomas Satoransky,"$10,000,000 ","$11,229,792 "
Danny Green,"$10,000,000 ","$11,229,793 "
Tristan Thompson,"$9,946,611 ","$11,169,838 "
Kyle Anderson,"$9,937,150 ","$11,159,214 "
Jae Crowder,"$9,720,900 ","$10,916,370 "
Derrick Favors,"$9,720,900 ","$10,916,370 "
Serge Ibaka,"$9,720,900 ","$10,916,370 "
Derrick Jones,"$9,720,900 ","$10,916,370 "
Montrezl Harrell,"$9,720,900 ","$10,916,370 "
Ja Morant,"$9,603,360 ","$10,784,375 "
Alec Burks,"$9,536,000 ","$10,708,731 "
Reggie Bullock,"$9,536,000 ","$10,708,731 "
Talen Horton-Tucker,"$9,500,000 ","$10,668,303 "
Mason Plumlee,"$9,248,333 ","$10,385,687 "
Jaren Jackson Jr,"$9,180,560 ","$10,309,579 "
James Wiseman,"$9,166,800 ","$10,294,127 "
Jalen Green,"$8,992,080 ","$10,097,920 "
De'Anthony Melton,"$8,805,976 ","$9,888,929 "
Royce O'Neale,"$8,800,000 ","$9,882,218 "
Nerlens Noel,"$8,800,000 ","$9,882,218 "
Jakob Poeltl,"$8,750,000 ","$9,826,069 "
Maxi Kleber,"$8,750,000 ","$9,826,069 "
Thomas Bryant,"$8,666,667 ","$9,732,488 "
RJ Barrett,"$8,623,920 ","$9,684,484 "
Alex Caruso,"$8,600,000 ","$9,657,622 "
Delon Wright,"$8,526,316 ","$9,574,876 "
Dario Saric,"$8,510,000 ","$9,556,554 "
Monte Morris,"$8,449,074 ","$9,488,135 "
Tyus Jones,"$8,376,286 ","$9,406,396 "
Trae Young,"$8,326,471 ","$9,350,455 "
Daniel Theis,"$8,280,351 ","$9,298,663 "
LaMelo Ball,"$8,231,760 ","$9,244,096 "
Seth Curry,"$8,207,518 ","$9,216,873 "
JaMychal Green,"$8,200,000 ","$9,208,430 "
Cedi Osman,"$8,133,334 ","$9,133,566 "
Evan Mobley,"$8,075,160 ","$9,068,238 "
De'Andre Hunter,"$7,775,400 ","$8,731,613 "
DJ Augustin,"$7,622,467 ","$8,559,872 "
Mo Bamba,"$7,568,743 ","$8,499,542 "
Ivica Zubac,"$7,518,518 ","$8,443,140 "
TJ McConnell,"$7,500,000 ","$8,422,345 "
Rajon Rondo,"$7,500,000 ","$8,422,344 "
Patrick Williams,"$7,422,000 ","$8,334,752 "
Cory Joseph,"$7,310,000 ","$8,208,979 "
Scottie Barnes,"$7,280,400 ","$8,175,738 "
Darius Garland,"$7,040,880 ","$7,906,762 "
Chris Boucher,"$7,020,000 ","$7,883,315 "
Zach Collins,"$7,000,000 ","$7,860,855 "
PJ Tucker,"$7,000,000 ","$7,860,855 "
Wendell Carter,"$6,920,027 ","$7,771,047 "
Juan Hernangomez,"$6,803,190 ","$7,639,841 "
Isaac Okoro,"$6,720,720 ","$7,547,229 "
Jalen Suggs,"$6,592,920 ","$7,403,713 "
Cameron Payne,"$6,500,000 ","$7,299,365 "
Joakim Noah,"$6,431,666 ","$7,222,628 "
Jarrett Culver,"$6,395,160 ","$7,181,632 "
Khem Birch,"$6,350,000 ","$7,130,918 "
Collin Sexton,"$6,349,671 ","$7,130,549 "
Onyeka Okongwu,"$6,104,280 ","$6,854,980 "
Justin Holiday,"$6,006,420 ","$6,745,085 "
Josh Giddey,"$5,988,000 ","$6,724,400 "
Rudy Gay,"$5,890,000 ","$6,614,348 "
Dennis Schroeder,"$5,890,000 ","$6,614,348 "
Patrick Mills,"$5,890,000 ","$6,614,348 "
Kevin Knox,"$5,845,978 ","$6,564,912 "
Coby White,"$5,837,760 ","$6,555,683 "
Timofey Mozgov,"$5,573,333 ","$6,258,737 "
Killian Hayes,"$5,572,680 ","$6,258,004 "
Mikal Bridges,"$5,557,725 ","$6,241,210 "
Shai Gilgeous-Alexander,"$5,495,532 ","$6,171,369 "
Jonathan Kuminga,"$5,466,360 ","$6,138,609 "
Miles Bridges,"$5,421,493 ","$6,088,224 "
Jaxson Hayes,"$5,348,280 ","$6,006,008 "
Pat Connaughton,"$5,333,334 ","$5,989,223 "
Kris Dunn,"$5,317,430 ","$5,971,363 "
George Hill,"$5,275,491 ","$5,924,267 "
Michael Porter,"$5,258,735 ","$5,905,450 "
Dewayne Dedmon,"$5,256,308 ","$5,902,724 "
Ryan Anderson,"$5,214,583 ","$5,855,869 "
Hamidou Diallo,"$5,200,000 ","$5,839,492 "
Kevon Looney,"$5,178,572 ","$5,815,429 "
Troy Brown,"$5,170,564 ","$5,806,436 "
Obi Toppin,"$5,105,160 ","$5,732,989 "
Franz Wagner,"$5,007,840 ","$5,623,700 "
Josh Jackson,"$5,005,350 ","$5,620,904 "
JaVale McGee,"$5,000,000 ","$5,614,896 "
Robin Lopez,"$5,000,000 ","$5,614,896 "
Luol Deng,"$5,000,000 ","$5,614,896 "
Kendrick Nunn,"$5,000,000 ","$5,614,896 "
Louis Williams,"$5,000,000 ","$5,614,896 "
Danuel House,"$4,997,424 ","$5,612,002 "
Rui Hachimura,"$4,916,160 ","$5,520,746 "
Taj Gibson,"$4,910,000 ","$5,513,828 "
Garrett Temple,"$4,910,000 ","$5,513,828 "
Torrey Craig,"$4,878,049 ","$5,477,948 "
Bruce Brown,"$4,736,102 ","$5,318,544 "
Deni Avdija,"$4,692,840 ","$5,269,962 "
Donte DiVincenzo,"$4,675,830 ","$5,250,860 "
Cam Reddish,"$4,670,160 ","$5,244,493 "
David Nwaba,"$4,650,000 ","$5,221,854 "
Furkan Korkmaz,"$4,629,630 ","$5,198,978 "
Davion Mitchell,"$4,603,200 ","$5,169,298 "
Ishmael Smith,"$4,500,000 ","$5,053,407 "
Bryn Forbes,"$4,500,000 ","$5,053,407 "
Jeff Green,"$4,500,000 ","$5,053,407 "
Jalen Smith,"$4,458,000 ","$5,006,241 "
Lonnie Walker,"$4,447,896 ","$4,994,895 "
Cameron Johnson,"$4,437,000 ","$4,982,659 "
Ziaire Williams,"$4,373,040 ","$4,910,833 "
Moe Harkless,"$4,347,600 ","$4,882,265 "
Bobby Portis,"$4,347,600 ","$4,882,265 "
Kevin Huerter,"$4,253,357 ","$4,776,432 "
Devin Vassell,"$4,235,160 ","$4,755,997 "
Chandler Hutchison,"$4,224,186 ","$4,743,673 "
Willie Cauley-Stein,"$4,220,083 ","$4,739,065 "
PJ Washington,"$4,215,120 ","$4,733,492 "
James Bouknight,"$4,154,400 ","$4,665,305 "
Jevon Carter,"$4,107,149 ","$4,612,242 "
Josh Okogie,"$4,087,904 ","$4,590,631 "
Grayson Allen,"$4,054,695 ","$4,553,338 "
Jarred Vanderbilt,"$4,050,000 ","$4,548,066 "
Tyrese Haliburton,"$4,023,600 ","$4,518,419 "
Tyler Herro,"$4,004,280 ","$4,496,723 "
Terence Davis,"$4,000,000 ","$4,491,917 "
Dorian Finney-Smith,"$4,000,000 ","$4,491,917 "
Gorgui Dieng,"$4,000,000 ","$4,491,917 "
Aaron Holiday,"$3,980,551 ","$4,470,076 "
Josh Primo,"$3,946,800 ","$4,432,174 "
Jake Layman,"$3,940,184 ","$4,424,745 "
Anfernee Simons,"$3,938,818 ","$4,423,211 "
Justise Winslow,"$3,902,439 ","$4,382,358 "
Kira Lewis,"$3,822,240 ","$4,292,296 "
Romeo Langford,"$3,804,360 ","$4,272,217 "
Sekou Doumbouya,"$3,799,131 ","$4,266,345 "
