  full_name,2022/23 ,2022/23(*)
Kessler Edwards,"$463,211 ","$520,176 "
Cassius Winston,"$462,629 ","$519,522 "
Joel Ayayi,"$462,629 ","$519,522 "
Justin Champagnie,"$462,629 ","$519,522 "
David Johnson,"$462,629 ","$519,522 "
Neemias Queta,"$462,629 ","$519,522 "
Keljin Blevins,"$462,629 ","$519,522 "
Ignas Brazdeikis,"$462,629 ","$519,522 "
Jericho Sims,"$462,629 ","$519,522 "
Nathan Knight,"$462,629 ","$519,522 "
McKinley Wright,"$462,629 ","$519,522 "
Sandro Mamukelashvili,"$462,629 ","$519,522 "
Yves Pons,"$462,629 ","$519,522 "
Jay Scrubb,"$462,629 ","$519,522 "
Chris Chiozza,"$462,629 ","$519,522 "
Sean Chris Smith,"$462,629 ","$519,522 "
Jamorko Pickett,"$462,629 ","$519,522 "
Markus Howard,"$462,629 ","$519,522 "
Tyler Cook,"$462,629 ","$519,522 "
Arnoldas Kulboka,"$462,629 ","$519,522 "
Scottie Lewis,"$462,629 ","$519,522 "
David Duke,"$462,629 ","$519,522 "
Brodric Thomas,"$462,629 ","$519,522 "
Sharife Cooper,"$462,629 ","$519,522 "
Justin Anderson,"$445,828 ","$500,654 "
Theo Pinson,"$440,710 ","$494,908 "
Charlie Brown,"$431,151 ","$484,173 "
Tim Frazier,"$386,127 ","$433,612 "
James Ennis,"$386,127 ","$433,611 "
Langston Galloway,"$386,127 ","$433,612 "
Kyle Guy,"$383,079 ","$430,189 "
Sam Dekker,"$350,000 ","$393,042 "
Quinndary Weatherspoon,"$346,491 ","$389,102 "
Brandon Goodwin,"$343,988 ","$386,291 "
Malcolm Hill,"$324,373 ","$364,263 "
Louis King,"$316,396 ","$355,306 "
DJ Wilson,"$308,493 ","$346,431 "
Shaquille Harrison,"$308,493 ","$346,431 "
Justin Jackson,"$308,493 ","$346,431 "
Jeff Dowtin,"$305,761 ","$343,362 "
Paul Watson,"$303,102 ","$340,377 "
Trevelin Queen,"$303,102 ","$340,377 "
Myles Powell,"$300,443 ","$337,391 "
Jontay Porter,"$300,000 ","$336,893 "
Mason Jones,"$295,125 ","$331,419 "
Eugene Omoruyi,"$281,831 ","$316,490 "
Brandon Knight,"$274,672 ","$308,450 "
Justin Robinson,"$265,953 ","$298,658 "
Ja'Vonte Smart,"$265,878 ","$298,574 "
Mychal Mulder,"$257,902 ","$289,618 "
Tyler Johnson,"$257,418 ","$289,074 "
Zylan Cheatham,"$256,734 ","$288,306 "
Cassius Stanley,"$256,734 ","$288,306 "
Devon Dotson,"$239,291 ","$268,718 "
Marcus Garrett,"$236,632 ","$265,732 "
Lindell Wigginton,"$233,973 ","$262,746 "
Jay Huff,"$225,997 ","$253,789 "
Olivier Sarr,"$223,339 ","$250,805 "
Aaron Henry,"$223,338 ","$250,803 "
Freddie Gillespie,"$221,156 ","$248,352 "
JaQuori McLaughlin,"$220,679 ","$247,817 "
Rayjon Tucker,"$220,639 ","$247,772 "
Petr Cornelie,"$218,021 ","$244,833 "
Tacko Fall,"$218,021 ","$244,833 "
Juwan Morgan,"$211,046 ","$236,999 "
Damyean Dotson,"$205,662 ","$230,954 "
Xavier Moon,"$202,069 ","$226,919 "
Tyrone Wallace,"$198,760 ","$223,203 "
Tremont Waters,"$191,860 ","$215,454 "
Jaylen Hoard,"$191,860 ","$215,454 "
Norvel Pelle,"$191,860 ","$215,454 "
Reggie Perry,"$188,272 ","$211,425 "
Devin Cannady,"$185,578 ","$208,400 "
Brandon Williams,"$180,798 ","$203,032 "
DeJon Jarreau,"$172,821 ","$194,073 "
Moses Wright,"$172,821 ","$194,073 "
Matt Mooney,"$171,156 ","$192,204 "
Dakota Mathias,"$171,156 ","$192,204 "
Daulton Hommes,"$167,504 ","$188,103 "
Grant Riller,"$162,186 ","$182,131 "
Lindy Waters III,"$159,527 ","$179,145 "
Anthony Tolliver,"$151,821 ","$170,491 "
Darren Collison,"$151,821 ","$170,491 "
Ersan Ilyasova,"$151,821 ","$170,491 "
Joe Johnson,"$151,821 ","$170,491 "
CJ Miles,"$151,821 ","$170,491 "
Chaundee Brown,"$151,552 ","$170,189 "
Xavier Sneed,"$146,233 ","$164,216 "
Mario Chalmers,"$138,019 ","$154,992 "
Anthony Lamb,"$136,095 ","$152,831 "
Braxton Key,"$127,622 ","$143,316 "
Troy Williams,"$122,741 ","$137,835 "
Feron Hunt,"$116,987 ","$131,373 "
Mac McClung,"$111,670 ","$125,403 "
Matt Ryan,"$111,669 ","$125,401 "
Emmanuel Mudiay,"$111,457 ","$125,163 "
Paris Bass,"$106,352 ","$119,431 "
Hassani Gravett,"$106,352 ","$119,431 "
Carlik Jones,"$106,352 ","$119,430 "
Cheick Diallo,"$102,831 ","$115,477 "
Jordan Bell,"$102,831 ","$115,477 "
DJ Stewart,"$101,034 ","$113,459 "
Nate Hinton,"$96,213 ","$108,045 "
Jaylen Morris,"$95,930 ","$107,727 "
BJ Johnson,"$95,930 ","$107,727 "
Scotty Hopson,"$95,930 ","$107,727 "
Justin James,"$95,930 ","$107,727 "
DaQuan Jeffries,"$95,930 ","$107,727 "
Derrick Walton,"$95,930 ","$107,727 "
Demetrius Jackson,"$92,857 ","$104,276 "
Emanuel Terry,"$85,578 ","$96,102 "
Jemerrio Jones,"$85,578 ","$96,102 "
George King,"$85,578 ","$96,102 "
Malik Newman,"$85,578 ","$96,102 "
Chris Clemons,"$85,578 ","$96,102 "
Cameron Oliver,"$85,578 ","$96,102 "
Jared Harper,"$85,081 ","$95,544 "
Gabriel Lundberg,"$79,764 ","$89,573 "
Jaime Echenique,"$53,176 ","$59,715 "
Craig Sword,"$53,176 ","$59,715 "
Jordan Goodwin,"$53,176 ","$59,715 "
Jordan Schakel,"$53,176 ","$59,715 "
Ade Murkey,"$53,176 ","$59,715 "
Jarron Cumberland,"$53,176 ","$59,715 "
Cameron McGriff,"$53,176 ","$59,715 "
MJ Walker,"$53,176 ","$59,715 "
Aleem Ford,"$53,176 ","$59,715 "
Rob Edwards,"$53,176 ","$59,715 "
Tyler Hall,"$53,176 ","$59,715 "
Javin DeLaurier,"$53,176 ","$59,715 "
Aric Holman,"$53,176 ","$59,715 "
Jon Teske,"$53,176 ","$59,715 "
Shaq Buchanan,"$53,176 ","$59,715 "
Ahmad Caver,"$53,176 ","$59,715 "
Jaysean Paige,"$53,176 ","$59,715 "
Micah Potter,"$53,176 ","$59,715 "
Trayvon Palmer,"$53,176 ","$59,715 "
Tre Scott,"$53,176 ","$59,715 "
Justin Tillman,"$53,176 ","$59,715 "
Malik Ellison,"$53,176 ","$59,715 "
Anthony Barber,"$53,176 ","$59,715 "
Luca Vildoza,"$42,789 ","$48,051 "
Zavier Simpson,"$37,223 ","$41,800 "
Mfiondu Kabengele,"$19,186 ","$21,545 "
Melvin Frazier,"$13,294 ","$14,928 "
